      No     Day     Mon    Year  Qobs_0000000001  Qsim_0000000001  Qobs_0000000002  Qsim_0000000002  Qobs_0000000003  Qsim_0000000003
     280       7      10    1997        0.2200000        0.3520434        0.2300000        0.2800443        0.2400000        0.1675991
     281       8      10    1997        0.1800000        0.3502224        0.3100000        0.2849068        0.2700000        0.1936938
     282       9      10    1997        0.1800000        0.3539215        0.3500000        0.3173430        0.3400000        0.2630831
     283      10      10    1997        0.1800000        0.3827592        0.4800000        0.4643841        0.5600000        0.4123844
     284      11      10    1997        0.5100000        0.4533248        0.7000000        0.5525924        0.6200000        0.3239240
     285      12      10    1997        0.6600000        0.5327741        0.4800000        0.5106716        0.4600000        0.2325041
     286      13      10    1997        0.7700000        0.6000809        0.4300000        0.4239559        0.4200000        0.2343355
     287      14      10    1997        0.6600000        0.6834620        0.3500000        0.3632936        0.4200000        0.2276313
     288      15      10    1997        0.5100000        0.7689529        0.3500000        0.4428814        0.3800000        0.2504451
     289      16      10    1997        0.5100000        0.7038906        0.3900000        0.3697472        0.3800000        0.2338111
     290      17      10    1997        0.5100000        0.5483889        0.3500000        0.3609733        0.3800000        0.2133541
     291      18      10    1997        0.5100000        0.4643537        0.4300000        0.3405607        0.3800000        0.2074378
     292      19      10    1997        0.5100000        0.4302251        0.4800000        0.3260618        0.3800000        0.2020814
     293      20      10    1997        0.5100000        0.4110262        0.4800000        0.3174266        0.3800000        0.1972652
     294      21      10    1997        0.5100000        0.3968578        0.5900000        0.3110237        0.6700000        0.1928444
